key,name,IATACode,website,type,foundationMoment,email,phoneNumber,key:airport
#name
Airline-01,Lorem ipsum dolor sit ame,AAA,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-02,L,BBB,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-03,Lo,CCC,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",DDD,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",EEE,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-06,洛伦·伊普森,FFF,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-35,โลเร็ม อิปซัม,SFF,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-36,لوريم إيبسوم,BFF,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-37,洛伦·伊普森,CFF,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-38,<marquee>Hacked</marquee>,DFF,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-39,<script>alert(‘Hacked!’);</script>,EFF,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-40,' or 'A' = 'A,GFF,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
#website
Airline-07,Lorem ipsum dolor sit ame,GGG,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-09,Lorem ipsum dolor sit ame,III,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-10,Lorem ipsum dolor sit ame,JJJ,http://example.org?a&b,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-11,Lorem ipsum dolor sit ame,KKK,http://example.org/a/b?a&b,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-12,Lorem ipsum dolor sit ame,LLL,http://lorem.com/ipftp://a.bsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-41,Lorem ipsum dolor sit ame,BLL,http://a.b,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-42,Lorem ipsum dolor sit ame,CLL,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-43,Lorem ipsum dolor sit ame,DLL,http://www.lorem-ipsum.org,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-44,Lorem ipsum dolor sit ame,ELL,https://www.lorem-ipsum.org,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-45,Lorem ipsum dolor sit ame,FLL,http://www.lorem-ipsum.org/dolor/sit.html,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-46,Lorem ipsum dolor sit ame,GLL,http://www.lorem-ipsum.org/dolor/sit.html#dolor,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-47,Lorem ipsum dolor sit ame,HLL,http://example.org?a=1&b=2,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-48,Lorem ipsum dolor sit ame,ILL,http://example.org?,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-49,Lorem ipsum dolor sit ame,NLL,http://example.org?a,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-50,Lorem ipsum dolor sit ame,MLL,http://example.org/,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-51,Lorem ipsum dolor sit ame,OLL,http://example.org/a,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-52,Lorem ipsum dolor sit ame,QLL,http://example.org/a/b,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-53,Lorem ipsum dolor sit ame,PLL,http://example.org/a/b?,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
#type,"","",""
Airline-14,Lorem ipsum dolor sit ame,NNN,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-15,Lorem ipsum dolor sit ame,OOO,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-16,Lorem ipsum dolor sit ame,PPP,http://lorem.com/ipsum,LOWCOST,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
#foundationMoment
Airline-17,Lorem ipsum dolor sit ame,QQQ,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-18,Lorem ipsum dolor sit ame,RRR,http://lorem.com/ipsum,LUXURY,2000/01/01 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-19,Lorem ipsum dolor sit ame,SSS,http://lorem.com/ipsum,LUXURY,2000/01/01 0:01,acme@lorem-ipsum.org,123456,Airport-01
Airline-20,Lorem ipsum dolor sit ame,TTT,http://lorem.com/ipsum,LUXURY,2025/01/01 00:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-21,Lorem ipsum dolor sit ame,UUU,http://lorem.com/ipsum,LUXURY,2024/12/31 23:59,acme@lorem-ipsum.org,123456,Airport-01
#email
Airline-22,Lorem ipsum dolor sit ame,VVV,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,a@b.e,123456,Airport-01
Airline-23,Lorem ipsum dolor sit ame,WWW,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,null,123456,Airport-01
Airline-24,Lorem ipsum dolor sit ame,XXX,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,123456,Airport-01
Airline-25,Lorem ipsum dolor sit ame,YYY,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,a@b.es,123456,Airport-01
Airline-26,Lorem ipsum dolor sit ame,ZZZ,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,a@b.esx,123456,Airport-01
